uid,name,location,togo,notification hot checkin,news hot checkin,notification hot spot,news hot spot,viewed checkin,liked,saved,type
U47,koko,紅樓中餐廳,False,False,False,False,False,False,False,False,report anywhere
U47,koko,雪文洋行,False,False,False,False,False,False,False,False,report anywhere
U47,koko,淡水藝術工坊,False,False,False,False,False,False,False,False,report anywhere
U47,koko,滬尾偕醫館,False,False,False,False,False,False,False,False,report anywhere
U47,koko,水店行,False,False,False,False,False,False,False,False,report anywhere
U47,koko,古早味現烤蛋糕,False,False,False,False,False,False,False,False,report anywhere
U47,koko,天仁茗茶,False,False,False,False,False,False,False,False,report anywhere
U47,koko,廁所,False,False,False,False,False,False,False,False,report anywhere
U47,koko,阿婆鐵蛋,False,False,False,False,False,False,False,False,report anywhere
U47,koko,新北市立圖書館淡水分館,False,False,False,False,False,False,False,False,report anywhere
U47,koko,義巧冰城,False,False,False,False,False,False,False,False,report anywhere
U47,koko,齊柏林飛坪,False,False,False,False,False,False,False,False,report anywhere
U47,koko,齊柏林飛坪,False,False,False,False,False,False,False,False,report anywhere
U47,koko,京華牛肉麵館,False,False,False,False,False,False,False,False,report anywhere
U47,koko,信不信由你搜奇博物館,False,False,False,False,False,False,False,False,report anywhere
U47,koko,淡水文化園區-殼牌倉庫,False,False,False,False,False,False,False,False,report anywhere
U47,koko,滬尾偕醫館,False,False,False,False,False,False,False,False,report anywhere
U47,koko,淡水禮拜堂,False,False,False,False,False,False,False,False,report anywhere
U47,koko,木下靜涯紀念公園,False,False,False,False,False,False,False,False,report anywhere
U47,koko,福佑宮,False,False,False,False,False,False,False,False,report anywhere
U47,koko,龍山寺,True,False,False,False,False,False,False,False,report togo
U47,koko,阿媽的酸梅湯,True,False,False,False,False,False,False,False,report togo
U47,koko,馬偕租屋處,True,False,False,False,False,False,False,False,report togo
U47,koko,清水巖,True,False,False,False,False,False,False,False,report togo
U47,koko,3D意象彩繪階梯,True,False,False,False,False,False,False,False,report togo
U47,koko,鄞山寺,True,False,False,False,False,False,False,False,report togo
U47,koko,重建街戀愛巷,True,False,False,False,False,False,False,False,report togo
U47,koko,之間茶食器,True,False,False,False,False,False,False,False,report togo
U47,koko,白樓故事牆,True,False,False,False,False,False,False,False,report togo
U47,koko,鄞山寺,True,False,False,False,False,False,False,False,report togo
U47,koko,龍山寺,True,False,False,False,False,False,False,False,report togo
U38,氣質,格子趣,False,False,False,False,False,False,False,False,report anywhere
U38,氣質,老蔡水煎包,False,False,False,False,False,False,False,False,report anywhere
U38,氣質,廣場,False,False,False,False,False,False,False,False,report anywhere
U38,氣質,7-11,False,False,False,False,False,False,False,False,report anywhere
U38,氣質,殼牌文創會館,False,False,False,False,False,False,False,False,report anywhere
U38,氣質,失戀故事館,False,False,False,False,False,False,False,False,report anywhere
U38,氣質,格子趣,False,False,False,False,False,False,False,False,report anywhere
U38,氣質,萊爾富,False,False,False,False,False,False,False,False,report anywhere
U38,氣質,library 淡水分館,False,False,False,False,False,False,False,False,report anywhere
U38,氣質,OK便利商店,False,False,False,False,False,False,False,False,report anywhere
U38,氣質,好好,False,False,False,False,False,False,False,False,report anywhere
U38,氣質,栗米燒,False,False,False,False,False,False,False,False,report anywhere
U38,氣質,文化阿給,False,False,False,False,False,False,False,False,report anywhere
U38,氣質,捷運站的廁所,False,False,False,False,False,False,False,False,report anywhere
U38,氣質,丹頂豆,False,False,False,False,False,False,False,False,report anywhere
U38,氣質,失戀故事館,False,False,False,False,False,False,False,False,report anywhere
U38,氣質,柑仔店大王,False,False,False,False,False,False,False,False,report anywhere
U38,氣質,多田榮吉故居,True,False,False,False,False,False,False,False,report togo
U38,氣質,多田榮吉故居,True,False,False,False,False,False,False,False,report togo
U20,U20,理學堂大書院,True,False,False,False,False,False,False,False,report togo
U20,U20,教士會館,True,False,False,False,False,False,False,False,report togo
U20,U20,小白宮,True,False,False,False,False,False,False,False,report togo
U20,U20,真理大學禮拜堂,True,False,False,False,False,False,False,False,report togo
U20,U20,馬偕故居(馬偕紀念館),True,False,False,False,False,False,False,False,report togo
U20,U20,多田榮吉故居,True,False,False,False,False,False,False,False,report togo
U20,U20,淡水捷運站,True,False,False,False,False,False,False,False,report togo
U20,U20,淡水文化園區-殼牌倉庫,True,False,False,False,False,False,False,False,report togo
U20,U20,牧師樓,True,False,False,False,False,False,False,False,report togo
