uid,name,location,togo,notification hot checkin,news hot checkin,notification hot spot,news hot spot,viewed checkin,liked,saved
4TE26xtwsONQwPBFRCgLj3Sg2rB3,I-Ju,3D意象彩繪階梯,True,False,False,False,False,False,False,False
4TE26xtwsONQwPBFRCgLj3Sg2rB3,I-Ju,淡水榕樹道,True,False,False,False,False,False,False,False
4TE26xtwsONQwPBFRCgLj3Sg2rB3,I-Ju,白樓故事牆,True,False,False,False,False,False,False,False
4TE26xtwsONQwPBFRCgLj3Sg2rB3,I-Ju,藝術工坊,True,False,False,False,False,False,False,False
4TE26xtwsONQwPBFRCgLj3Sg2rB3,I-Ju,真理大學,True,False,False,False,False,False,False,False
ObT83xbHaLhzH8lVsHpM7uP9qGn1,chcchung,文化阿給,True,False,False,False,False,False,False,False
ObT83xbHaLhzH8lVsHpM7uP9qGn1,chcchung,淡水捷運站,True,False,False,False,False,True,True,True
ObT83xbHaLhzH8lVsHpM7uP9qGn1,chcchung,阿婆鐵蛋,True,False,False,False,False,False,False,False
ObT83xbHaLhzH8lVsHpM7uP9qGn1,chcchung,小白宮,True,False,False,False,False,False,False,False
ObT83xbHaLhzH8lVsHpM7uP9qGn1,chcchung,淡水渡船頭,True,False,False,False,False,False,False,False
VIhkuWyGi1MS9yPuVVbj5tRi0AG2,Stanley,阿婆鐵蛋,True,False,False,False,False,False,False,False
VIhkuWyGi1MS9yPuVVbj5tRi0AG2,Stanley,淡水老街,True,False,False,False,False,False,False,False
URRbpmf81mawZ0FXIavt1r9gZim2,money,淡水禮拜堂,True,False,False,False,False,False,False,False
URRbpmf81mawZ0FXIavt1r9gZim2,money,阿媽的酸梅湯,True,False,False,False,False,False,False,False
URRbpmf81mawZ0FXIavt1r9gZim2,money,小白宮,True,False,False,False,False,False,False,False
